InventoryID,WarehouseID,MaterialType,Weight_In(tons),Waste(tons),Weight_Out(tons),LastUpdated,SupervisorName,CurrentVolume(tons),
39,7,Molybdenum,20.4288,0.32479,11.19315,2023-05-23,Jean Mitchell,8.91086,
40,11,Copper Concentrate,26.10552,0.52809,15.90455,2025-01-18,Brittany Stewart,9.67288,
41,38,Molybdenum,27.4668,0.48559,11.8156,2024-08-05,Anna Thomas,15.16561,
42,18,Copper Ore,10.60225,0.40263,5.83661,2024-02-22,David Fisher,4.36301,
43,16,Copper Concentrate,45.71624,0.59758,14.53366,2025-03-15,Grant Wright,30.585,
44,31,Copper Ore,11.16597,0.23669,4.33598,2024-11-23,Leroy Rogers,6.5933,
45,14,Molybdenum,24.91572,0.42366,7.00052,2023-09-18,Randall Brown,17.49154,
46,27,Copper Concentrate,13.83493,0.46047,8.10267,2024-03-01,Samuel Jordan,5.27179,
47,40,Molybdenum,17.87857,0.78432,7.16011,2024-05-31,Brandi Mills,9.93414,
48,21,Molybdenum,47.69682,0.61892,21.69737,2023-06-11,Gina Tate,25.38053,
49,23,Copper Ore,24.85085,0.57547,10.64461,2024-05-09,Jennifer Osborn,13.63077,
50,37,Copper Concentrate,39.16003,0.29357,9.07142,2023-11-29,John Harvey,29.79504,
51,28,Molybdenum,15.0464,0.46106,11.09691,2024-03-10,Ryan Harper,3.48843,
52,1,Molybdenum,20.05132,0.42274,12.76236,2023-11-14,Kimberly Mercer,6.86622,
53,29,Copper Ore,45.24941,0.76424,17.84727,2024-11-02,Sara Gibson MD,26.6379,
54,37,Copper Ore,46.13185,0.47169,34.10157,2024-11-18,Amber Rodriguez,11.55859,
55,12,Copper Ore,21.50541,0.71306,13.01881,2025-04-27,Bethany Pineda DDS,7.77354,
56,10,Copper Ore,48.68453,0.59217,38.70433,2024-03-16,Angela Torres,9.38803,
57,8,Molybdenum,36.72397,0.72757,17.55141,2024-10-29,Alexa Rodriguez,18.44499,
58,19,Copper Concentrate,30.12027,0.202,8.00491,2024-09-15,Christopher Thomas,21.91336,
59,2,Molybdenum,25.1201,0.75487,6.85676,2024-05-02,Anna Mata,17.50847,
60,16,Molybdenum,23.49473,0.77078,15.22184,2024-02-04,Amber Roach,7.50211,
61,28,Copper Concentrate,48.08043,0.29296,26.31195,2024-06-29,John Hansen,21.47552,
62,33,Copper Concentrate,37.73335,0.23943,12.45524,2024-01-12,Jonathan Brown,25.03868,
63,40,Copper Concentrate,31.36407,0.39037,16.57772,2024-11-05,Thomas Short,14.39598,
64,10,Copper Concentrate,11.73959,0.55133,6.07973,2024-11-30,Melanie Hutchinson,5.10853,
65,15,Copper Concentrate,19.90204,0.51448,14.22331,2025-04-08,Johnathan Anderson,5.16425,
66,31,Copper Ore,47.72683,0.46107,11.06526,2024-09-23,Brian Lewis,36.2005,
67,32,Copper Ore,32.27441,0.74761,8.64408,2023-07-03,Daniel Gray,22.88272,
68,33,Copper Ore,24.30073,0.54199,11.31346,2024-12-12,Shannon Strong,12.44528,
69,17,Molybdenum,10.37801,0.76048,2.94373,2025-01-26,Katie Stark,6.6738,
70,22,Copper Ore,20.14193,0.54569,15.97749,2025-02-20,Brian Meyers,3.61875,
71,35,Copper Concentrate,20.16907,0.31111,6.43296,2024-11-14,Christine Bennett,13.425,
72,22,Copper Concentrate,16.82742,0.78925,9.62158,2023-10-22,Jeffrey Patterson,6.41659,
73,20,Copper Ore,23.7992,0.7991,11.09505,2024-06-17,Robert Cain,11.90505,
74,29,Molybdenum,18.10596,0.46788,12.11297,2024-08-25,Kaitlyn Mitchell,5.52511,
75,34,Molybdenum,12.51606,0.65746,2.89844,2023-09-23,Victoria Perez,8.96016,
76,9,Molybdenum,13.91842,0.58194,5.49272,2024-03-08,Melissa Barrett,7.84376,
77,23,Copper Concentrate,29.8691,0.31115,14.39283,2025-01-24,Juan Harris,15.16512,
78,25,Copper Ore,12.78642,0.54752,3.42907,2024-09-30,Kevin Newman,8.80983,
79,12,Molybdenum,47.40614,0.59255,27.71867,2024-02-22,Natalie Park,19.09492,
80,2,Copper Concentrate,18.24391,0.55624,9.49648,2025-03-15,Anthony Barton,8.19119,
81,6,Molybdenum,28.56849,0.52489,19.8861,2024-09-05,Sara George,8.1575,
82,8,Copper Concentrate,26.58673,0.55513,12.37269,2025-04-10,Craig Rodriguez,13.65891,
83,17,Copper Concentrate,21.65351,0.62539,8.16364,2023-05-10,Kimberly Lopez,12.86448,
84,29,Molybdenum,22.94114,0.66259,8.93638,2023-12-30,Vanessa Lam,13.34217,
85,16,Molybdenum,18.4639,0.25343,6.30339,2024-04-25,Edgar Clark,11.90708,
86,18,Molybdenum,21.21073,0.7481,16.11573,2024-06-10,Meredith Ramirez,4.3469,
87,38,Copper Concentrate,14.6842,0.46978,9.97391,2024-11-03,Laura Gutierrez,4.24051,
88,32,Copper Concentrate,37.57007,0.61797,15.25626,2025-04-04,Nathan Gibson,21.69584,
89,35,Molybdenum,35.78105,0.43258,16.81353,2025-03-17,Barbara Park,18.53494,
90,17,Copper Ore,22.46118,0.23063,5.85487,2024-04-27,Thomas Lewis,16.37568,
91,37,Copper Concentrate,45.21196,0.59818,25.0306,2024-09-16,Joshua Long,19.58318,
92,23,Molybdenum,25.45503,0.4194,16.22361,2023-09-15,Tammy Harris,8.81202,
93,20,Copper Ore,34.44357,0.53167,11.59962,2025-01-23,Melissa Hartman,22.31228,
94,32,Copper Ore,30.92677,0.35995,14.38742,2023-07-13,Jesse Reed,16.1794,
95,18,Molybdenum,23.00227,0.32233,13.91427,2023-05-14,David Lee,8.76567,
96,9,Molybdenum,47.19162,0.37772,21.97176,2024-03-08,Corey Harrison,24.84214,
97,38,Copper Ore,43.92806,0.70512,23.29625,2023-10-16,Emily Jackson,19.92669,
98,10,Molybdenum,43.64492,0.75441,13.83149,2024-11-17,Shannon Walker,29.05902,
99,22,Molybdenum,48.17155,0.78715,32.61209,2024-07-16,Mary Dyer,14.77231,
100,37,Molybdenum,10.0993,0.4486,2.68407,2024-08-14,Elizabeth Clark,6.96663,
101,40,Molybdenum,29.68476,0.66391,14.32078,2024-02-24,Elizabeth Smith,14.70007,
102,40,Molybdenum,47.51652,0.30083,17.803,2025-04-03,Christina Edwards,29.41269,
103,20,Copper Concentrate,15.37707,0.64655,4.04777,2023-10-15,David Ramsey,10.68275,
104,27,Copper Ore,19.79977,0.45452,14.12369,2025-03-18,Jeremiah Barnes,5.22156,
105,37,Copper Ore,30.20248,0.70646,9.66835,2023-07-18,Alicia Riley,19.82767,
106,39,Copper Concentrate,37.13686,0.31821,17.88365,2024-02-27,Chris Lawson,18.935,
107,20,Molybdenum,23.3104,0.69135,13.23227,2025-01-23,Austin Chapman,9.38678,
108,9,Molybdenum,22.25459,0.2434,8.05098,2024-07-07,Maria Simpson,13.96021,
109,15,Molybdenum,41.03192,0.70766,20.0153,2024-12-16,Sydney Hernandez,20.30896,
110,28,Copper Concentrate,11.31416,0.45419,5.86392,2025-01-12,Vincent Howe,4.99605,
111,4,Molybdenum,41.43191,0.28444,19.34415,2023-10-02,Michael Sawyer,21.80332,
112,16,Copper Concentrate,27.14161,0.38355,11.34235,2023-11-30,Michaela Warren,15.41571,
113,3,Molybdenum,35.16038,0.62562,12.43316,2024-11-29,Daniel Brown,22.1016,
114,23,Molybdenum,38.22012,0.46777,28.42446,2025-04-15,Brenda Howell,9.32789,
115,6,Molybdenum,13.93875,0.33996,7.04866,2024-07-29,Jeffrey Waller,6.55013,
116,6,Molybdenum,46.15385,0.34326,28.65255,2024-07-24,John James,17.15804,
117,19,Copper Concentrate,42.8925,0.6159,22.32163,2023-09-26,Danny Patel,19.95497,
118,38,Copper Ore,25.01526,0.58866,9.29661,2024-05-15,Ann Dougherty,15.12999,
119,30,Molybdenum,17.79177,0.23836,8.66792,2025-01-14,Amy Mann,8.88549,
120,13,Molybdenum,12.51222,0.68751,8.68258,2024-08-18,Jose Garcia,3.14213,
121,29,Copper Concentrate,22.34436,0.28411,16.21297,2023-08-16,Kelly Patton,5.84728,
122,7,Copper Concentrate,38.52768,0.34434,29.45353,2023-05-07,Michele Navarro,8.72981,
123,6,Copper Ore,42.52727,0.20834,14.01485,2024-08-18,Alexander Mendoza,28.30408,
124,17,Molybdenum,23.06353,0.50375,9.38984,2024-10-09,Charles Morris,13.16994,
125,6,Copper Ore,18.8116,0.71056,5.10488,2024-04-02,Lisa Lucas,12.99616,
126,27,Molybdenum,23.09577,0.75784,18.31386,2024-05-09,Ashley Grant,4.02407,
127,20,Copper Concentrate,48.57467,0.47799,28.10564,2023-11-14,Michael Kim,19.99104,
128,40,Copper Concentrate,13.84363,0.26165,8.62354,2024-06-02,Eric Guerrero,4.95844,
129,38,Copper Ore,16.48734,0.48458,7.5585,2024-07-13,Tony Kelly,8.44426,
130,26,Copper Concentrate,37.76956,0.37427,13.07319,2023-09-12,Thomas Obrien,24.3221,
131,37,Copper Concentrate,15.59054,0.38564,6.74037,2024-04-27,Richard Cox,8.46453,
132,16,Copper Ore,20.66504,0.34578,7.71246,2024-11-04,Madison Ballard,12.6068,
133,22,Molybdenum,42.12703,0.77221,21.88257,2023-10-07,Katrina Coffey,19.47225,
134,19,Copper Concentrate,22.02447,0.43845,15.19099,2024-12-11,Gilbert Monroe,6.39503,
135,23,Copper Ore,33.88066,0.20214,23.68496,2023-06-26,Michael Kidd,9.99356,
136,30,Molybdenum,32.91249,0.49716,12.23463,2024-01-28,Shannon Jones,20.1807,
137,15,Copper Concentrate,20.61774,0.62012,6.32035,2023-05-03,Lisa Graham,13.67727,
138,1,Molybdenum,19.94937,0.68916,12.64542,2025-04-03,Richard Martin,6.61479,
139,6,Molybdenum,21.58702,0.65203,9.71882,2024-05-12,Kevin Levy,11.21617,
140,24,Molybdenum,45.0376,0.6213,13.92432,2024-06-18,Megan Phillips,30.49198,
141,34,Copper Concentrate,10.75033,0.31886,6.04822,2025-02-09,Amanda Wright,4.38325,
142,39,Molybdenum,13.66546,0.41006,3.6558,2024-10-01,Stephanie Powell,9.5996,
143,8,Copper Ore,23.6484,0.47568,6.08498,2024-09-23,Ashley Harper,17.08774,
144,33,Copper Concentrate,18.81207,0.28218,3.89844,2023-06-20,David Lee,14.63145,
145,19,Copper Concentrate,32.5143,0.45643,10.54283,2024-12-07,Jared Porter,21.51504,
146,30,Molybdenum,31.57844,0.26089,15.39149,2024-08-02,Matthew Williams,15.92606,
147,16,Copper Concentrate,29.81448,0.25235,8.8664,2024-05-11,Kelsey Powell,20.69573,
148,29,Molybdenum,22.03012,0.70171,5.31394,2025-04-18,Beth Simmons,16.01447,
149,21,Copper Concentrate,30.45795,0.30137,15.09212,2024-10-06,Jake Beltran,15.06446,
150,27,Copper Ore,41.44914,0.48372,30.75059,2025-04-16,Kelli Gonzales,10.21483,
